,ApEn_force_d,SampEnt_force_d,mean_force,SD_force,CV_force,rms_force,media0a1_power_force,media1a4_power_force,media4a8_power_force,media8a16_power_force,media0a1_Npower_force,media1a4_Npower_force,media4a8_Npower_force,media8a16_Npower_force,ApEn_force_d_NF,SampEnt_force_d_NF,mean_force_NF,SD_force_NF,CV_force_NF,rms_force_NF,media0a1_power_force_NF,media1a4_power_force_NF,media4a8_power_force_NF,media8a16_power_force_NF,media0a1_Npower_force_NF,media1a4_Npower_force_NF,media4a8_Npower_force_NF,media8a16_Npower_force_NF,Classification
13,0.64764,0.53947,11.25748,1.21363,11.73087,1.1957200000000001,0.8931100000000001,0.09774999999999999,0.036460000000000006,0.00834,80.18946,14.125290000000001,5.77652,1.734,0.6974400000000001,0.6169399999999999,10.28403,0.53096,5.4309899999999995,1.80381,0.10698,0.00521,0.00324,0.00126,78.5754,9.8373,8.27863,3.3219299999999996,0
14,0.65489,0.50817,28.48293,0.75984,2.6772400000000003,0.6083000000000001,0.10417000000000001,0.03383,0.00505,0.0020399999999999997,83.95312,15.041730000000001,2.2582999999999998,1.37896,0.79,0.66132,28.356900000000003,0.48158,1.69737,0.9027799999999999,0.0533,0.01517,0.0036200000000000004,0.00241,81.44923,14.03715,3.06428,2.23835,0
15,0.20651000000000003,0.13774,57.05715,6.31593,9.80302,7.271980000000001,12.641319999999999,0.25842,0.04095,0.0259,86.53166,3.59914,0.37914,0.39768,0.57911,0.49855,53.309900000000006,0.92103,1.7332699999999999,2.3541800000000004,0.28667000000000004,0.01966,0.00332,0.0033300000000000005,84.21553,7.808069999999999,1.3296800000000002,1.1883700000000001,1
16,0.5862125,0.4339125,22.395475,0.594525,2.6594125,0.5835375,0.0763375,0.013149999999999998,0.0015249999999999999,0.0005375,86.4496375,9.2889625,1.3627125,0.5729,0.427125,0.3560625,24.179625,0.33571249999999997,1.3875375,1.303125,0.029125,0.0070625,0.0009625,0.00039999999999999996,82.347525,13.8392875,1.9982125,0.9058875,1
17,0.4475777777777778,0.32835555555555557,31.92523333333333,1.5200555555555555,4.574333333333333,1.0784111111111112,0.9697888888888888,0.16085555555555556,0.02108888888888889,0.004644444444444445,86.246,13.241733333333334,2.4659333333333335,0.6069555555555556,0.3456444444444445,0.2887111111111111,32.13958888888889,1.0634666666666668,3.7421333333333333,1.6190444444444443,0.3496222222222223,0.036500000000000005,0.016455555555555557,0.0024444444444444444,86.90383333333334,7.238844444444445,3.1329111111111114,0.4676444444444445,1
18,0.081825,0.058225,13.3676875,7.0636375,55.54725,7.3980875,18.2034125,0.8656625,0.0268125,0.0091,93.688225,2.479675,0.1408,0.0282125,0.1053875,0.07825,17.10635,5.4698625000000005,33.9083125,5.1781375,13.1159375,0.5213,0.011362500000000001,0.004699999999999999,93.6215125,5.1525625,0.3550375,0.05655,1
19,0.36541,0.20475,14.36812,1.55778,8.867160000000002,3.7124200000000003,1.47892,0.045540000000000004,0.01091,0.0019099999999999998,83.74316999999999,9.44814,1.95999,1.32386,0.45042,0.33525,15.21849,0.4223,2.77553,2.6256999999999997,0.05106000000000001,0.0058200000000000005,0.00165,0.00074,79.16902,11.55621,3.48624,1.90932,1
20,0.6052,0.50841,36.07918,2.7242699999999997,7.539149999999999,1.95455,1.10433,0.9563499999999999,0.09169000000000001,0.02827,71.02146,32.1555,3.3263100000000003,1.11378,0.63461,0.57232,33.79761,1.03745,3.08562,2.77899,0.18166,0.05334,0.0088,0.0050999999999999995,78.83633999999999,17.223580000000002,2.79319,1.7218399999999998,0
21,0.39117999999999997,0.32086000000000003,54.70536,2.6277,4.76723,2.03227,1.33408,0.51144,0.01569,0.006070000000000001,84.14874999999999,19.94143,0.87131,0.39216,0.39887,0.34469,52.06579000000001,1.7206,3.4038600000000003,3.8075400000000004,0.9336800000000001,0.06948,0.00614,0.00434,92.43659,6.07554,0.5389999999999999,0.369,0
22,0.5485142857142857,0.46831428571428574,66.91132857142857,1.8875428571428572,2.822057142857143,1.1580142857142857,0.6891714285714287,0.1372142857142857,0.014857142857142859,0.009300000000000001,85.82685714285715,11.136971428571428,1.4497,0.821342857142857,0.5766571428571429,0.5245714285714286,67.48922857142857,1.7546714285714287,2.591542857142857,2.1046285714285715,1.2923714285714285,0.1524142857142857,0.024342857142857142,0.0105,86.34827142857144,9.749871428571428,2.0675,0.6556142857142857,1
23,0.56412,0.34337999999999996,40.57056,0.49881000000000003,1.22911,0.4889,0.06396,0.00967,0.00145,0.00075,86.21438,9.88193,1.46347,0.78817,0.42491,0.3417,38.837959999999995,0.47414000000000006,1.22489,1.4176300000000002,0.06405999999999999,0.01681,0.00307,0.00132,77.01358,16.544639999999998,2.8649899999999997,1.2126000000000001,1
24,0.58458,0.47590000000000005,18.99754,2.90468,15.55798,3.5785199999999997,2.4311599999999998,0.69348,0.27872,0.03764,83.34421999999999,12.718900000000001,4.272419999999999,0.73378,0.59048,0.50098,15.27414,1.28342,8.26858,5.2482999999999995,0.73078,0.10038,0.027639999999999998,0.00564,84.59318,9.56058,3.4394400000000003,0.8081799999999999,1
25,0.41448,0.28388,20.2854,1.01035,4.88237,1.04233,0.6025600000000001,0.06093,0.00751,0.0015899999999999998,92.44941,5.597589999999999,0.71136,0.3176,0.34056000000000003,0.28166,18.51455,0.39768,2.11036,1.70505,0.0405,0.00315,0.00067,0.00045,86.31997,5.86096,1.59347,1.11623,1
26,0.4784625,0.3029625,33.299437499999996,1.833825,5.5240125,1.692675,0.6493875,0.312125,0.257675,0.0092125,71.5259375,15.0692625,11.97275,0.489875,0.5383375,0.490925,32.4840625,2.2298999999999998,6.8904625,2.452475,1.0332,0.4962125,0.48725,0.0118,65.0440125,17.203425,18.4042,0.5345125,1
27,0.4793,0.39587,33.2945,1.52569,4.59291,1.12896,0.41292999999999996,0.28939,0.0153,0.00321,78.98066,26.101999999999997,1.3147199999999999,0.40332,0.47400000000000003,0.38827,32.75082,1.90938,6.03002,2.64384,1.5190000000000001,0.09242,0.00964,0.00553,87.09709000000001,10.808629999999999,1.24278,0.6131,0
28,0.6360333333333333,0.5230833333333333,34.38588333333333,1.19055,3.254466666666667,1.9317666666666666,0.37706666666666666,0.05153333333333333,0.006116666666666666,0.002333333333333333,86.20098333333334,8.691333333333334,2.2555333333333336,0.8827833333333333,0.6751833333333334,0.5934166666666666,30.83028333333333,0.64945,2.117033333333333,2.3500833333333335,0.1108,0.02061666666666667,0.004483333333333333,0.0014999999999999998,83.79371666666667,10.510366666666666,2.634516666666667,0.8997,1
29,0.41481,0.32814,18.01297,1.03457,5.76907,0.82051,0.17777,0.0413,0.0019,0.00153,86.98418000000001,16.37951,0.74886,1.15124,0.59941,0.48917,19.37672,0.6434599999999999,3.31445,0.87163,0.12935000000000002,0.012620000000000001,0.00138,0.0019099999999999998,91.425,7.263330000000001,0.83682,1.18567,0
30,0.54271,0.41866000000000003,13.12474,0.84881,6.87488,0.88574,0.30663,0.06006,0.00405,0.0015800000000000002,84.09360000000001,14.78829,1.55142,1.46844,0.64821,0.47773000000000004,14.083879999999999,0.48029,3.4192499999999995,0.48797000000000007,0.049909999999999996,0.00824,0.00125,0.00133,84.20491,11.83227,2.03471,2.37228,0
31,0.35026999999999997,0.27369000000000004,30.407490000000003,1.909,6.2964,1.37942,0.90205,0.14442,0.00393,0.0018800000000000002,90.56314,11.27873,0.50842,0.43484999999999996,0.52397,0.44274,30.44001,1.5365600000000001,4.62449,2.47517,0.65455,0.06357,0.00477,0.0035000000000000005,86.45652,12.14042,1.24181,0.9012399999999999,0
32,0.38119000000000003,0.30095,14.768510000000001,2.13387,14.575899999999999,1.53234,1.6146999999999998,0.25743,0.00854,0.00476,91.33037999999999,10.22311,0.43685999999999997,0.24035,0.37568999999999997,0.29029,13.718430000000001,3.3568599999999997,25.01063,2.51704,3.3524299999999996,1.55136,0.014499999999999999,0.008900000000000002,87.27806000000001,20.822390000000002,0.34287999999999996,0.17463,0
33,0.36235,0.2945,39.95337,1.81483,4.54601,2.30619,0.53148,0.08349999999999999,0.00834,0.00225,88.86945,9.19889,1.2776299999999998,0.5716600000000001,0.43271,0.36721,41.195260000000005,1.19723,2.88598,2.59284,0.42241,0.03012,0.00492,0.00303,91.29484,6.6420699999999995,1.0193999999999999,0.7155400000000001,0
34,0.3544,0.24833,17.65309,2.39311,14.414629999999999,2.01561,2.21572,0.23790999999999998,0.01209,0.006470000000000001,91.78412,8.196110000000001,0.67528,0.45102000000000003,0.46724,0.38442,20.3036,1.3029499999999998,6.52046,2.0294499999999998,0.49062,0.03027,0.0052,0.00537,91.60467,5.10199,0.92208,0.9709099999999999,0
35,0.4145,0.2874,18.30905,0.94062,5.1692,0.8228,0.19759,0.030569999999999996,0.0015800000000000002,0.00143,91.35452000000001,7.94241,0.53033,0.7002200000000001,0.54112,0.38903999999999994,19.40994,0.54972,2.85882,1.2537800000000001,0.05765,0.0026,0.00065,0.00098,90.73638,4.1823,1.16993,1.72655,0
36,0.338575,0.2291375,23.19845,1.1479625,4.9605625,0.961575,0.396425,0.134875,0.0014624999999999998,0.00075,91.97385,6.2264625,0.280125,0.1955125,0.24531250000000002,0.2125,20.4088125,0.5931125,2.9201125,2.3702625,0.1078625,0.0059625,0.00085,0.0005625,89.0174625,5.0078625,0.75295,0.4395125,1
37,0.5709500000000001,0.43963,25.15147,0.8362,3.3772100000000003,0.71499,0.10028000000000001,0.017249999999999998,0.00233,0.00177,88.92681,9.45609,1.55544,1.42748,0.69295,0.56884,24.74999,0.43777999999999995,1.7668700000000002,0.87432,0.0669,0.00618,0.0014399999999999999,0.0014,86.23289,9.27487,2.3058199999999998,2.25659,0
38,0.6492899999999999,0.49226000000000003,7.950919999999999,0.25131000000000003,3.1493100000000003,0.17785,0.01106,0.00245,0.00053,0.00155,77.44679,14.18659,2.89147,8.74926,0.7051499999999999,0.52209,7.8881,0.17018,2.15274,0.16625,0.00501,0.0016399999999999997,0.00045,0.0012000000000000001,72.10199,16.05641,4.19684,10.88677,0
39,0.4232125,0.2927875,15.5347875,0.9661625,6.6180625,0.9245875000000001,0.177625,0.010675,0.0014875,0.00065,87.16703749999999,7.1139,1.239225,0.5795374999999999,0.3265,0.2609375,15.929287500000001,0.9228999999999999,6.2191624999999995,0.8410625,0.3912,0.0104875,0.0015375,0.0007875,81.6642875,9.397175,2.3389875,1.4048375,1
40,0.5230571428571429,0.3756285714285714,13.992314285714286,1.0399571428571428,7.9202714285714295,0.8460714285714286,0.4418428571428571,0.1177,0.0036999999999999997,0.0008142857142857143,83.52401428571429,13.469028571428572,1.634642857142857,0.8277142857142857,0.3473857142857143,0.2835571428571429,14.053728571428573,0.6648285714285714,4.699485714285714,0.6784142857142857,0.14438571428571428,0.03828571428571429,0.002085714285714286,0.0008428571428571428,83.44468571428571,14.544428571428572,1.736357142857143,0.753,1
41,0.64922,0.52694,30.828699999999998,0.78112,2.5201599999999997,0.63256,0.33548999999999995,0.08245000000000001,0.00347,0.0018700000000000001,86.31403,13.07022,1.4687899999999998,1.40058,0.75126,0.67066,29.04602,0.50205,1.7311599999999998,1.5072699999999999,0.062490000000000004,0.01517,0.0016099999999999999,0.0019,80.64095999999999,16.814159999999998,1.8781199999999998,2.34129,0
42,0.44467999999999996,0.35304,30.30486,1.68994,5.59061,1.0929300000000002,0.3256,0.059309999999999995,0.006720000000000001,0.00438,84.38107,13.715399999999999,2.07856,1.25571,0.8114100000000001,0.76231,28.926440000000003,0.78331,2.7108,1.30693,0.16294,0.08604999999999999,0.02423,0.0069500000000000004,76.32598,18.57658,4.98124,2.01937,0
43,0.7193,0.6375,20.55375,0.6774,3.2925,1.05825,0.2131,0.0135,0.00355,0.0036,92.20599999999999,4.10435,1.01,1.03115,0.7706999999999999,0.59865,21.448349999999998,0.50325,2.34255,1.5321,0.09634999999999999,0.0107,0.0032,0.00315,87.8844,5.76225,1.99845,1.85115,1
44,0.54997,0.34136,17.66216,0.32559,1.84006,0.30807,0.029610000000000004,0.00377,0.00066,0.0009599999999999999,86.07899,9.32263,2.0398,3.7852400000000004,0.62777,0.42323000000000005,16.73705,0.20475,1.22898,0.7095499999999999,0.01069,0.0016,0.00067,0.00097,81.25595,9.25152,3.70944,5.251060000000001,0
45,0.42535999999999996,0.32324,13.49791,1.48264,10.15446,1.2865,0.8573000000000001,0.00994,0.0021699999999999996,0.00281,86.53481,3.67492,1.03538,1.32723,0.70435,0.5093099999999999,12.96396,0.48568,3.64287,0.71136,0.06055000000000001,0.00282,0.00108,0.00124,85.33827,5.73397,2.62557,3.11862,1
